nct_id,drug_name,is_combination,n_drugs_in_trial
NCT06525948,Recombinant Human Thrombopoietin,True,2
NCT06525948,Cyclosporin,True,2
NCT06444412,Computed Tomography,True,3
NCT06444412,Gallium Ga-68 gozetotide,True,3
NCT06444412,Positron Emission Tomography,True,3
NCT06562920,Adebrelimab,True,4
NCT06562920,Chemotherapy,True,4
NCT06562920,Stereotactic Body Radiation Therapy,True,4
NCT06562920,Surgical Procedure,True,4
NCT06260033,Biospecimen Collection,True,7
NCT06260033,Bone Scan,True,7
NCT06260033,Computed Tomography,True,7
NCT06260033,18F-fluoroestradiol,True,7
NCT06260033,Positron Emission Tomography,True,7
NCT06260033,Questionnaire Administration,True,7
NCT06260033,Stereotactic Body Radiation Therapy,True,7
NCT05901194,Lenvatinib,False,1
NCT06734182,Envafolimab,True,3
NCT06734182,Disitamab vedotin,True,3
NCT06734182,Carboplatin,True,3
NCT06422156,Stereotactic Body Radiation Therapy,True,5
NCT06422156,Nimotuzumab,True,5
NCT06422156,Gemcitabine,True,5
NCT06422156,Gimeracil/oteracil/tegafur,True,5
NCT06422156,Capecitabine,True,5
NCT06881537,Capecitabine,True,4
NCT06881537,Oxaliplatin,True,4
NCT06881537,Bevacizumab,True,4
NCT06881537,Tislelizumab,True,4
NCT06332430,Immunogenic Cell Death Inducer CAN2109,False,1
NCT06402383,Human papillomavirus vaccine,False,1
NCT06408194,Anti-CD22 CAR T Cells Preparation,True,3
NCT06408194,Tisagenlecleucel,True,3
NCT06408194,Lymphodepletion Therapy,True,3
NCT06428682,Tranexamic Acid,True,2
NCT06428682,Placebo Control,True,2
NCT06300320,Rovadicitinib,False,1
NCT06255379,Fruquintinib,True,2
NCT06255379,Gimeracil/oteracil/tegafur,True,2
NCT06358638,Daratumumab,True,4
NCT06358638,Alemtuzumab,True,4
NCT06358638,Sirolimus,True,4
NCT06358638,Total-Body Irradiation,True,4
NCT06494514,Eculizumab,True,8
NCT06494514,Oxaliplatin,True,8
NCT06494514,Fluorouracil,True,8
NCT06494514,FU-LV Regimen,True,8
NCT06494514,PDCD1 wt Allele,True,8
NCT06494514,Stereotactic Body Radiation Therapy,True,8
NCT06494514,Gemcitabine,True,8
NCT06494514,Nab-paclitaxel,True,8
NCT06271551,Transdermal Estrogen,True,2
NCT06271551,Resistance Training,True,2
NCT06297226,Arlocabtagene autoleucel,False,1
NCT06432296,M 701,True,2
NCT06432296,Paracentesis,True,2
NCT06099366,Vincristine,True,11
NCT06099366,Asparaginase,True,11
NCT06099366,Dexamethasone,True,11
